session_id,player_id,player_index,source_label,split,engagement_index,label_cheat,cheat_probability_mean,cheat_probability_max,cheat_probability_std,emb_z_mean,emb_z_max,encoder_signal_mean,encoder_signal_max,automation_signature_mean,automation_signature_max,movement_signature_mean,movement_signature_max,target_error_drop_mean,target_error_drop_max,error_speed_ratio_drop_mean,error_speed_ratio_drop_max,error_improvement_ratio_rise_mean,error_improvement_ratio_rise_max,tight_on_target_rise_mean,tight_on_target_rise_max,lock_rise_mean,lock_rise_max,lock_strength_rise_mean,lock_strength_rise_max,fire_on_target_shift_mean,fire_on_target_shift_max,fire_coupling_shift_mean,fire_coupling_shift_max,fire_alignment_strength_rise_mean,fire_alignment_strength_rise_max,fire_stability_synergy_rise_mean,fire_stability_synergy_rise_max,snap_rise_mean,snap_rise_max,snap_power_rise_mean,snap_power_rise_max,aim_efficiency_rise_mean,aim_efficiency_rise_max,straightness_rise_mean,straightness_rise_max,settling_ratio_rise_mean,settling_ratio_rise_max,entropy_drop_mean,entropy_drop_max,micro_correction_drop_mean,micro_correction_drop_max,micro_to_speed_drop_mean,micro_to_speed_drop_max,curvature_drop_mean,curvature_drop_max,flick_magnitude_shift_mean,flick_magnitude_shift_max
C00028_E00,C00028,28,cheater,train,0,1,0.5865505708673421,0.7998254567551356,0.1769649145857977,0.03573564805429981,0.41391319453212544,1.458846014494675,2.1193406034391975,1.772208050951265,2.4016333705159343,1.7001805511430936,3.3318124065615895,0.385864025975256,0.7389916497076757,0.38541675260520253,0.6682155027821457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09450615212965573,0.4961572986806926,0.45745397533636845,2.4016333705159343,0.014249832321565062,0.07481161968821658,0.056567978298852184,0.29698188606897397,0.0,0.0,0.0,0.0,0.021958669922180714,0.153605770035173,0.8624680847401669,1.3097860018698477,0.753284712974479,3.3318124065615895,0.8701584862830946,2.6393398069839704,0.7433852084749732,1.3676888029604732,0.6019355613437393,1.2632669933227725,0.5896254447271638,1.027839527076219,0.0,0.0
C00028_E01,C00028,28,cheater,train,1,1,0.5305323309931179,0.8423990495752856,0.17409259363144727,0.012473672154597397,0.18547942441235463,0.6118245120559872,2.116382101623601,0.9445717284562223,2.116382101623601,1.4389732364796632,3.5984683347352187,0.425498354428604,0.7346802078660775,0.41368369378004727,0.6148268141182456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17904725436568242,0.9399980854198328,0.08931323853425352,0.7231073089196262,0.0,0.0,0.010881645053554186,0.2285145461246379,0.0,0.0,0.20264721016535545,0.8642152255334963,0.15752230183043078,0.5789820541613778,0.6446758058600037,3.5984683347352187,1.0545169907341159,2.6393398069839704,0.31063067378676096,1.358941196683262,0.3503074693017404,1.1701023522580865,0.23409379918914275,1.0276194255893836,0.0,0.0
C00028_E02,C00028,28,cheater,train,2,1,0.558423480159146,0.8403032119933175,0.16128145080680775,0.06466971885007047,1.0024278435138991,0.7685285726540831,2.115643974735457,1.061858603888398,2.115643974735457,1.415028288145622,3.598468334735219,0.4269302972272623,0.722793153030383,0.4297444260525401,0.6301299231550771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19453200111693875,0.9399980854198328,0.09366180553590138,0.7231073089196262,0.0,0.0,0.010881645053554186,0.2285145461246379,0.0,0.0,0.19463906614437423,0.8642534590645521,0.15200587631515183,0.5569523592853206,0.6542383949487312,3.598468334735219,1.0042867314000365,2.5761242808218943,0.30297811563774363,1.325211237441284,0.3428868755212588,1.1772579840352502,0.2340928876697245,1.0275716532061991,0.0,0.0
C00028_E03,C00028,28,cheater,train,3,1,0.5953821279813343,0.815771530997864,0.2022929209889398,0.17422470445590682,1.5673501191765649,1.2703018014663254,2.1195467394842056,1.4855197389375432,2.1195467394842056,0.7328916253097556,1.221236715929346,0.5012514222159009,0.7157368157076562,0.4317321308144727,0.586155245280134,0.0,0.0,0.06409886573005028,0.336519045082764,0.10464624889914617,0.5493928067205174,0.10547666833618041,0.5537525087649472,0.09450615212965573,0.4961572986806926,0.5654330419627686,1.5507885642358374,0.3214365961713468,1.0120863262109279,0.030194497223871335,0.16457505718302365,0.0,0.0,0.0,0.0,0.4365069386714984,1.2323502932567034,0.49892304114230274,1.221236715929346,0.1324454269350359,0.8755990550062791,0.20550887782107502,0.8288330714072997,0.08860379979932287,0.4050683074120353,0.1286870074769167,0.6799645482411312,0.06330130787877758,0.5027796391132036,0.0,0.0
C00028_E04,C00028,28,cheater,train,4,1,0.5348329314905493,0.8231734876126834,0.2199298138828398,0.9665237028547942,2.3146840359208203,1.0447849463717211,2.1195111069206907,2.7203123103219373,6.6033114786053115,1.1950471625751213,2.3194648118616006,0.26473863133861114,0.797074483576354,0.24937358628947207,0.702273492281082,0.0,0.0,0.8012956043006066,4.283312056373689,0.5777916747227942,2.8097224945755332,0.10309304648258696,1.2212829678022101,0.09450615212965573,0.4961572986806926,0.35972806227682574,1.332487613041289,0.09368449138210136,0.49184357975603216,0.0,0.0,1.2188245533416375,6.6033114786053115,0.3676105503102729,2.0329506338143544,0.031870382401056004,0.24026221224004923,0.4329806795150529,1.1806767299346015,0.47557511229737476,2.1035776250180556,0.4459049813961154,2.3194648118616006,0.3448498473379943,1.311678191385056,0.30272349371228713,0.9033643135366777,0.31200797133266367,0.8461192779876425,0.1023120460783012,0.38081476909591006
C00028_E05,C00028,28,cheater,train,5,1,0.4354444751969411,0.8110955629496401,0.20823336954048285,0.4692531305076046,2.4099103616602604,0.6215608008975292,2.1079093773503774,1.5492217579341387,4.283312056373689,0.9461587351893248,2.4061063960571705,0.6600808553493002,0.7977251315349303,0.5910862884366891,0.6977181186506455,0.0,0.0,0.9903266468585347,4.283312056373689,0.6039532369475809,2.8097224945755332,0.23262532720042098,1.2212829678022101,0.09450615212965573,0.4961572986806926,0.5471481811978057,1.332487613041289,0.09368449138210136,0.49184357975603216,0.0,0.0,0.010881645053554186,0.2285145461246379,0.0,0.0,0.051787396762875006,0.2123658077665528,0.3625236123491289,0.9170888182588366,0.703567173364925,2.4061063960571705,0.09628176303722061,0.6930436073068184,0.07998869709613893,0.4631354375108541,0.01825254395491445,0.20486211139483762,0.06638130428757483,0.8214873620562125,0.0,0.0
C00028_E06,C00028,28,cheater,train,6,1,0.620236632071543,0.8506191718822582,0.18439479116627921,0.13778384756853596,1.1614353866890124,1.334783292946042,2.119418195843861,1.5436429211490346,2.119418195843861,3.2148148202384212,8.499920615511751,0.7372581010996462,0.770307809155563,0.6169639742824985,0.6583990299103596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09450615212965573,0.4961572986806926,0.3996302221661013,2.0980586663720318,0.0,0.0,0.029224419873761544,0.1534282043372481,0.0,0.0,0.0,0.0,0.021384057066383137,0.17917474602689276,0.5650667150121816,1.1645168724060704,3.085668244186713,8.499920615511751,0.7910407918020194,2.1644121018430806,0.6206888592909098,1.5642544589721732,0.2409689196437221,1.1627484606571015,0.3448670355217619,1.0277317706675602,0.0,0.0
C00028_E07,C00028,28,cheater,train,7,1,0.5801907740802333,0.7750803873373705,0.17900259310864058,0.04543037918683549,0.9540379629235453,1.2442805222904056,2.117713660550848,1.4082118475195435,2.117713660550848,1.4457263996085006,2.5269127247306313,0.5704604249992231,0.6649156076266298,0.36495572817988287,0.6644970340886865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0992414195952489,0.5210174528750567,0.0,0.0,0.0,0.0,0.08247564184501954,0.8659942393727051,0.0191779514717628,0.2013684904535094,0.2693984364750475,1.1753680084818643,0.19076936127176589,1.1326655722826935,0.07152600345994531,0.4521632755684481,1.3935573820483143,2.5269127247306313,0.8584444105512768,1.5484414270288163,0.3486881951808477,1.0750099363335601,0.3602008837115428,1.027172439097246,0.014060765430275547,0.14763803701789324
C00028_E08,C00028,28,cheater,train,8,1,0.7078423312219266,0.9686121148311252,0.20621520754482145,1.5592294282607075,6.139596280844788,1.4045035414032172,2.119549403601104,4.432104368125733,13.357927704565608,5.274681120075128,9.886682202975836,0.7092397579648798,0.7989372771496289,0.5363116093270532,0.6886293316333404,0.0,0.0,1.6168017280158244,5.598909726803998,3.670049278537175,13.357927704565608,2.7174958138198018,11.100923026882853,0.6503988427762544,2.318522945972631,1.4059956521983386,3.077339053702643,0.47768592977266,1.7937655579205218,0.29376830038751045,1.1177099288812273,0.0,0.0,0.0,0.0,0.40100865766951865,1.076513859454759,0.0,0.0,4.627373581009287,9.886682202975836,2.4509156555780347,2.6393398069839704,1.6170431970053774,1.7178788883548055,1.2103968270880283,1.3801886701385966,0.928089787465531,1.0279334971497365,0.0,0.0
C00028_E09,C00028,28,cheater,train,9,1,0.5730393507124688,0.8640747647867939,0.19683367996250317,0.34530759368382286,2.4320382061379515,1.030474812835228,2.1193625824036086,2.303404649850988,8.837268328855576,1.5552219039943347,2.9631582743387255,0.439741107415222,0.8081944752878968,0.4144844446001159,0.7067056482805326,0.0,0.0,1.3490984609096548,7.901205650057038,1.4485863378372996,8.837268328855576,0.6523303902082787,4.162283198369384,0.24830166496863673,1.407340122326662,0.30322893896713876,1.2735615436619827,0.20283229372909928,1.1728433523064263,0.0,0.0,0.0,0.0,0.0,0.0,0.22305059465172605,0.9119351393501256,0.6458118989458318,1.3340177139638636,0.7811072492523492,2.9631582743387255,0.9733320819966403,1.82706409829079,0.6097628869474538,1.30771262078747,0.48588388963283646,1.2598539767077492,0.426058370977004,1.0277818094887947,0.0,0.0
