session_id,player_id,player_index,source_label,split,engagement_index,tick,t,view_yaw,view_pitch,replay_x,replay_y,crosshair_to_victim_yaw,crosshair_to_victim_pitch,yaw_delta,pitch_delta,angular_speed,angular_speed_sq,angular_acceleration,angular_jerk,target_error,target_error_sq,target_error_delta,target_error_improvement,error_speed_ratio,error_improvement_ratio,on_target_soft,on_target_tight,on_target_dwell_ms,lock_indicator,lock_dwell_ms,lock_strength,heading_change,curvature,view_straightness,stability_score,settling_ratio,yaw_reversal,pitch_reversal,direction_entropy_short,micro_correction_score,micro_to_speed_ratio,angular_speed_autocorr_short,fire_input,fire_on_target,time_since_fire_ms,fire_motion_coupling,fire_alignment_strength,fire_stability_synergy,last_fire_interval_ms,last_stabilization_to_fire_ms,flick_event,flick_magnitude,time_since_flick_ms,snap_indicator,snap_power,aim_tension,aim_efficiency,label_cheat
C00015_E27,C00015,15,cheater,test,27,0,-5.0,0.0,0.0,-1.0,0.012916489440600875,53.40700149536133,-2.447999954223633,0.0,0.0,0.0,0.0,0.0,0.0,53.46307616010704,2858.300512501406,0.0,0.0,213.85230464042817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.08,0.7999999999999999,0.5,0.0,0.0,10031.25,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,10031.25,0.0,0.0,0.0,0.0,1
C00015_E27,C00015,15,cheater,test,27,1,-4.96875,0.0,0.0,-1.0,0.012916489440600875,53.654998779296875,-2.4600000381469727,0.0,0.0,0.0,0.0,0.0,0.0,53.711362803358774,2884.9104941940327,0.24828664325173122,0.0,214.8454512134351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.08,0.7999999999999999,0.5,0.0,0.0,10062.5,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,10062.5,0.0,0.0,0.0,0.0,1
C00015_E27,C00015,15,cheater,test,27,2,-4.9375,0.0,0.0,-1.0,0.012916489440600875,53.88199996948242,-2.4700000286102295,0.0,0.0,0.0,0.0,0.0,0.0,53.93858378612325,2909.370820852638,0.22722098276447866,0.0,215.754335144493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,10093.75,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,10093.75,0.0,0.0,0.0,0.0,1
C00015_E27,C00015,15,cheater,test,27,3,-4.90625,0.0,0.0,-1.0,0.012916489440600875,54.03200149536133,-2.4749999046325684,0.0,0.0,0.0,0.0,0.0,0.0,54.088656945081006,2925.58281012266,0.15007315895775264,0.0,216.35462778032402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,10125.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,10125.0,0.0,0.0,0.0,0.0,1
C00015_E27,C00015,15,cheater,test,27,4,-4.875,0.0,0.0,-1.0,0.012916489440600875,54.20800018310547,-2.4830000400543213,0.0,0.0,0.0,0.0,0.0,0.0,54.26483735394839,2944.6725730504722,0.1761804088673813,0.0,217.05934941579355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,10156.25,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,10156.25,0.0,0.0,0.0,0.0,1
C00015_E27,C00015,15,cheater,test,27,5,-4.84375,0.0,0.0,-1.0,0.012916489440600875,54.36199951171875,-2.490000009536743,0.0,0.0,0.0,0.0,0.0,0.0,54.41899568128396,2961.427090959602,0.15415832733557266,0.0,217.67598272513584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,10187.5,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,10187.5,0.0,0.0,0.0,0.0,1
C00015_E27,C00015,15,cheater,test,27,6,-4.8125,0.0,0.0,-1.0,0.012916489440600875,54.52899932861328,-2.50600004196167,0.0,0.0,0.0,0.0,0.0,0.0,54.58655332579828,2979.691803990219,0.16755764451431787,0.0,218.3462133031931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,10218.75,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,10218.75,0.0,0.0,0.0,0.0,1
C00015_E27,C00015,15,cheater,test,27,7,-4.78125,0.0,0.0,-1.0,0.012916489440600875,54.5880012512207,-2.515000104904175,0.0,0.0,0.0,0.0,0.0,0.0,54.64590658165478,2986.175106130941,0.0593532558565002,0.0,218.5836263266191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,10250.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,10250.0,0.0,0.0,0.0,0.0,1
C00015_E27,C00015,15,cheater,test,27,8,-4.75,0.23600000143051147,-0.07699999958276749,-0.9966539061328795,0.011824755437166812,54.51100158691406,-2.4600000381469727,0.23600000143051147,-0.07699999958276749,0.24824383297666755,0.06162500061094762,0.24824383297666755,0.24824383297666755,54.566481416674016,2977.5008941962305,-0.07942516498076202,0.07942516498076202,109.51762531746044,0.0014555402396947044,0.0,0.0,0.0,0.0,0.0,0.0,0.315381197897797,1.270449276085097,1.0,0.0,0.0,0.0,0.0,0.1677527782585486,0.12374442755373942,0.3553384606872,0.5,0.0,0.0,10281.25,0.0,0.0,0.0,1000.0,1000.0,0.0,0.01971680738962855,10281.25,0.0,0.0,13.545792498925259,0.3186645143119639,1
C00015_E27,C00015,15,cheater,test,27,9,-4.71875,1.0270000100135803,-0.159000001847744,-0.9854388202787747,0.010662129576914469,53.810001373291016,-2.385999917984009,0.7910000085830688,-0.0820000022649765,0.7952389665690881,0.6324050139498713,0.5469951335924206,0.29875130061575306,53.86287444429791,2901.2092434022006,-0.7036069723761074,0.7036069723761074,51.53163646500705,0.013062687740810892,0.0,0.0,0.0,0.0,0.0,0.0,0.2120839322804272,0.2666920777227809,0.9959295030193255,0.0,0.0,0.0,0.0,0.24064269829578747,0.1618958577180888,0.18084094165219164,0.975894698215066,0.0,0.0,10312.5,0.0,0.0,0.0,1000.0,1000.0,0.0,0.5595356815831806,10312.5,0.0,0.0,42.83385660952401,0.8836630734211333,1
