session_id,player_id,player_index,source_label,split,engagement_index,tick,t,view_yaw,view_pitch,replay_x,replay_y,crosshair_to_victim_yaw,crosshair_to_victim_pitch,yaw_delta,pitch_delta,angular_speed,angular_speed_sq,angular_acceleration,angular_jerk,target_error,target_error_sq,target_error_delta,target_error_improvement,error_speed_ratio,error_improvement_ratio,on_target_soft,on_target_tight,on_target_dwell_ms,lock_indicator,lock_dwell_ms,lock_strength,heading_change,curvature,view_straightness,stability_score,settling_ratio,yaw_reversal,pitch_reversal,direction_entropy_short,micro_correction_score,micro_to_speed_ratio,angular_speed_autocorr_short,fire_input,fire_on_target,time_since_fire_ms,fire_motion_coupling,fire_alignment_strength,fire_stability_synergy,last_fire_interval_ms,last_stabilization_to_fire_ms,flick_event,flick_magnitude,time_since_flick_ms,snap_indicator,snap_power,aim_tension,aim_efficiency,label_cheat
L08205_E06,L08205,8205,legit,test,6,0,-5.0,0.0,0.0,0.0,0.1170000322163105,-2.2679998874664307,0.39100000262260437,0.0,0.0,0.0,0.0,0.0,0.0,2.3014570366614753,5.296704491598619,0.0,0.0,9.205828146645901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3827991967055374,2.551994644703583,0.0,0.0,1.0,0.08,0.7999999999999999,0.5,0.0,0.0,10031.25,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,10031.25,0.0,0.0,0.0,0.0,0
L08205_E06,L08205,8205,legit,test,6,1,-4.96875,0.0,0.0,0.0,0.1170000322163105,-2.305999994277954,0.3930000066757202,0.0,0.0,0.0,0.0,0.0,0.0,2.3392488065310713,5.472084978857041,0.03779176986959598,0.0,9.356995226124285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.37888774852403423,2.5259183234935616,0.0,0.0,1.0,0.08,0.7999999999999999,0.5,0.0,0.0,10062.5,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,10062.5,0.0,0.0,0.0,0.0,0
L08205_E06,L08205,8205,legit,test,6,2,-4.9375,0.0,0.0,0.0,0.1170000322163105,-2.385999917984009,0.3959999978542328,0.0,0.0,0.0,0.0,0.0,0.0,2.4186383786999346,5.849811606920248,0.07938957216886333,0.0,9.674553514799738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.40290318239625744,2.6860212159750496,0.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,10093.75,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,10093.75,0.0,0.0,0.0,0.0,0
L08205_E06,L08205,8205,legit,test,6,3,-4.90625,0.0,0.0,0.0,0.1170000322163105,-2.4630000591278076,0.39899998903274536,0.0,0.0,0.0,0.0,0.0,0.0,2.495109272659559,6.225570282511715,0.07647089395962459,0.0,9.980437090638237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.39430020682579964,2.628668045505331,0.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,10125.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,10125.0,0.0,0.0,0.0,0.0,0
L08205_E06,L08205,8205,legit,test,6,4,-4.875,0.0,0.0,0.0,0.1170000322163105,-2.5269999504089355,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,2.558462185402617,6.545728754135134,0.06335291274305765,0.0,10.233848741610467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.38717300414220557,2.5811533609480373,0.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,10156.25,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,10156.25,0.0,0.0,0.0,0.0,0
L08205_E06,L08205,8205,legit,test,6,5,-4.84375,0.0,0.0,0.0,0.1170000322163105,-2.6449999809265137,0.40299999713897705,0.0,0.0,0.0,0.0,0.0,0.0,2.6755249759244024,7.158433896795274,0.11706279052178559,0.0,10.70209990369761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.37400344020850473,2.4933562680566985,0.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,10187.5,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,10187.5,0.0,0.0,0.0,0.0,0
L08205_E06,L08205,8205,legit,test,6,6,-4.8125,0.0,0.0,0.0,0.1170000322163105,-2.7200000286102295,0.40400001406669617,0.0,0.0,0.0,0.0,0.0,0.0,2.749839298396461,7.561616167005541,0.0743143224720586,0.0,10.999357193585844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3656430789303982,2.4376205262026547,0.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,10218.75,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,10218.75,0.0,0.0,0.0,0.0,0
L08205_E06,L08205,8205,legit,test,6,7,-4.78125,0.0,0.0,0.0,0.1170000322163105,-2.8369998931884766,0.4059999883174896,0.0,0.0,0.0,0.0,0.0,0.0,2.865903763992299,8.213404384465228,0.11606446559583805,0.0,11.463615055969196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.35258582655086645,2.3505721770057764,0.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,10250.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,10250.0,0.0,0.0,0.0,0.0,0
L08205_E06,L08205,8205,legit,test,6,8,-4.75,0.0,0.0,0.0,0.1170000322163105,-2.9730000495910645,0.40799999237060547,0.0,0.0,0.0,0.0,0.0,0.0,3.000865423280905,9.005193288642886,0.13496165928860604,0.0,12.00346169312362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3374026398808982,2.2493509325393215,0.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,10281.25,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,10281.25,0.0,0.0,0.0,0.0,0
L08205_E06,L08205,8205,legit,test,6,9,-4.71875,0.0,0.0,0.0,0.1170000322163105,-3.193000078201294,0.4099999964237213,0.0,0.0,0.0,0.0,0.0,0.0,3.2192156647949077,10.36334949646092,0.21835024151400262,0.0,12.876862659179631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3128382377105729,2.0855882514038195,0.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,10312.5,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,10312.5,0.0,0.0,0.0,0.0,0
