session_id,player_id,player_index,source_label,split,engagement_index,tick,t,view_yaw,view_pitch,replay_x,replay_y,crosshair_to_victim_yaw,crosshair_to_victim_pitch,yaw_delta,pitch_delta,angular_speed,angular_acceleration,angular_jerk,target_error,target_error_delta,target_error_improvement,on_target_soft,on_target_tight,on_target_dwell_ms,lock_indicator,lock_dwell_ms,heading_change,curvature,view_straightness,stability_score,yaw_reversal,pitch_reversal,direction_entropy_short,micro_correction_score,angular_speed_autocorr_short,fire_input,fire_on_target,time_since_fire_ms,fire_motion_coupling,last_fire_interval_ms,last_stabilization_to_fire_ms,flick_event,flick_magnitude,time_since_flick_ms,snap_indicator,aim_efficiency,label_cheat
L06116_E02,L06116,6116,legit,test,2,0,-5.0,0.0,0.0,-0.3844699664945487,-0.02399301878979044,1.0080000162124634,-0.16500000655651093,0.0,0.0,0.0,0.0,0.0,1.0214152117762763,0.0,0.0,1.0,0.0,31.25,0.0,0.0,0.0,0.0,0.5,0.5152835255811554,0.0,0.0,1.0,0.08,0.5,0.0,0.0,10031.25,0.0,1000.0,1000.0,0.0,0.0,10031.25,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,1,-4.96875,0.0,0.0,-0.3844699664945487,-0.02399301878979044,1.0080000162124634,-0.16500000655651093,0.0,0.0,0.0,0.0,0.0,1.0214152117762763,0.0,0.0,1.0,0.0,62.5,0.0,0.0,0.0,0.0,0.5,0.5152835255811554,0.0,0.0,1.0,0.08,0.5,0.0,0.0,10062.5,0.0,1000.0,1000.0,0.0,0.0,10062.5,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,2,-4.9375,0.0,0.0,-0.3844699664945487,-0.02399301878979044,1.0080000162124634,-0.16500000655651093,0.0,0.0,0.0,0.0,0.0,1.0214152117762763,0.0,0.0,1.0,0.0,93.75,0.0,0.0,0.0,0.0,0.5,0.560090788675169,0.0,0.0,-0.0,0.0,0.5,0.0,0.0,10093.75,0.0,1000.0,1000.0,0.0,0.0,10093.75,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,3,-4.90625,0.054999999701976776,0.0,-0.3764722932034833,-0.02399301878979044,0.953000009059906,-0.16500000655651093,0.054999999701976776,0.0,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.9671783803579511,-0.05423683141832514,0.05423683141832514,1.0,0.0,125.0,0.0,0.0,0.0,0.0,1.0,0.8265573226727586,0.0,0.0,-0.0,0.007778174550905174,0.5,0.0,0.0,10125.0,0.0,1000.0,1000.0,0.0,0.002983025711844047,10125.0,0.0,0.9685148519100902,0
L06116_E02,L06116,6116,legit,test,2,4,-4.875,0.10999999940395355,0.0,-0.368474619912418,-0.02399301878979044,0.8980000019073486,-0.16500000655651093,0.054999999701976776,0.0,0.054999999701976776,0.0,-0.054999999701976776,0.9130328611771029,-0.0541455191808482,0.0541455191808482,1.0,0.0,156.25,0.0,0.0,0.0,0.0,1.0,0.8359832014130422,0.0,0.0,-0.0,0.007144709542507266,0.7886751345948129,0.0,0.0,10156.25,0.0,1000.0,1000.0,0.0,0.002978003538810029,10156.25,0.0,0.9668842762321815,0
L06116_E02,L06116,6116,legit,test,2,5,-4.84375,0.10999999940395355,0.0,-0.368474619912418,-0.02399301878979044,0.902999997138977,-0.16500000655651093,0.0,0.0,0.0,-0.054999999701976776,-0.054999999701976776,0.9179509774474023,0.004918116270299366,0.0,1.0,0.0,187.5,0.0,0.0,0.0,0.0,1.0,0.8381692029227836,0.0,0.0,-0.0,0.01043551622200972,0.5833333333333334,0.0,0.0,10187.5,0.0,1000.0,1000.0,0.0,0.0,10187.5,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,6,-4.8125,0.16499999910593033,0.0,-0.3604769466213526,-0.02399301878979044,0.9020000100135803,-0.16500000655651093,0.054999999701976776,0.0,0.054999999701976776,0.054999999701976776,0.10999999940395355,0.9169672950700847,-0.0009836823773176073,0.0009836823773176073,1.0,0.0,218.75,0.0,0.0,0.0,0.0,1.0,0.8318081530793632,0.0,0.0,-0.0,0.011338540409009503,0.5,0.0,0.0,10218.75,0.0,1000.0,1000.0,0.0,5.410253045930821e-05,10218.75,0.0,0.01756575683129662,0
L06116_E02,L06116,6116,legit,test,2,7,-4.78125,0.16499999910593033,0.0,-0.3604769466213526,-0.02399301878979044,1.0099999904632568,-0.16500000655651093,0.0,0.0,0.0,-0.054999999701976776,-0.10999999940395355,1.023388969502519,0.10642167443243422,0.0,1.0,0.0,250.0,0.0,0.0,0.0,0.0,1.0,0.8190897698953113,0.0,0.0,-0.0,0.012472827541719182,0.41666666666666663,0.0,0.0,10250.0,0.0,1000.0,1000.0,0.0,0.0,10250.0,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,8,-4.75,0.16499999910593033,0.0,-0.3604769466213526,-0.02399301878979044,1.1720000505447388,-0.16500000655651093,0.0,0.0,0.0,0.0,0.054999999701976776,1.1835578231081567,0.16016885360563782,0.0,1.0,0.0,281.25,0.0,0.0,0.0,0.0,1.0,0.7933745808237556,0.0,0.0,-0.0,0.011667261826357762,0.4666666666666667,0.0,0.0,10281.25,0.0,1000.0,1000.0,0.0,0.0,10281.25,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,9,-4.71875,0.2199999988079071,0.0,-0.3524792733302872,-0.02399301878979044,1.3289999961853027,-0.16500000655651093,0.054999999701976776,0.0,0.054999999701976776,0.054999999701976776,0.054999999701976776,1.3392034916412754,0.15564566853311868,0.0,1.0,0.0,312.5,0.0,0.0,0.0,0.0,1.0,0.7620772429260088,0.0,0.0,-0.0,0.012160957498741052,0.4209430584957905,0.0,0.0,10312.5,0.0,1000.0,1000.0,0.0,0.0,10312.5,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,10,-4.6875,0.32999999821186066,0.16500000655651093,-0.3364839267481565,2.16681126421191e-09,1.4739999771118164,-0.33000001311302185,0.10999999940395355,0.16500000655651093,0.19830532527523922,0.14330532557326245,0.08830532587128567,1.5104886431814806,0.17128515154020518,0.0,1.0,0.0,343.75,0.0,0.0,0.9827937021300731,4.9559622302931,0.8820141565946922,0.4720025429410474,0.0,0.0,0.14649899564050445,0.29943185229339236,0.6506623727161027,0.0,0.0,10343.75,0.0,1000.0,1000.0,0.0,0.0,10343.75,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,11,-4.65625,0.5499999970197678,0.2200000062584877,-0.3044932335838951,0.007997675457876621,1.5460000038146973,-0.38499999046325684,0.2199999988079071,0.054999999701976776,0.2267708081801901,0.02846548290495088,-0.11483984266831157,1.5932171868429463,0.08272854366146576,0.0,1.0,0.0,375.0,0.0,0.0,0.7378150496983957,3.2535715492627886,0.9182918088500034,0.4455697158874682,0.0,0.0,0.13793895010121127,0.3406220780340073,0.8576117776727334,0.0,0.0,10375.0,0.0,1000.0,1000.0,0.0,0.0,10375.0,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,12,-4.625,0.6049999967217445,0.2200000062584877,-0.29649556029282975,0.007997675457876621,1.8140000104904175,-0.38499999046325684,0.054999999701976776,0.0,0.054999999701976776,-0.17177080847821333,-0.2002362913831642,1.8544058430440578,0.2611886562011114,0.0,1.0,0.0,406.25,0.0,0.0,0.24497865243167738,4.454157341074904,0.9195549808851183,0.42548270613612876,0.0,0.0,0.1304145212097519,0.3457154520113102,0.7400837721162837,0.0,0.0,10406.25,0.0,1000.0,1000.0,0.0,0.0,10406.25,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,13,-4.59375,0.6599999964237213,0.2200000062584877,-0.2884978870017644,0.007997675457876621,2.1070001125335693,-0.38499999046325684,0.054999999701976776,0.0,0.054999999701976776,0.0,0.17177080847821333,2.141885726847532,0.28747988380347445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9213654817656755,0.3964689396811703,0.0,0.0,0.1237441088802919,0.3457154520113102,0.7226602856760426,0.0,0.0,10437.5,0.0,1000.0,1000.0,0.0,0.0,10437.5,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,14,-4.5625,0.6599999964237213,0.2200000062584877,-0.2884978870017644,0.007997675457876621,2.4790000915527344,-0.38499999046325684,0.0,0.0,0.0,-0.054999999701976776,-0.054999999701976776,2.5087180883023055,0.36683236145477327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9195549808851183,0.36080797895325245,0.0,0.0,0.1237441088802919,0.34571545201131015,0.7226602856760426,0.0,0.0,10468.75,0.0,1000.0,1000.0,0.0,0.0,10468.75,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,15,-4.53125,0.6599999964237213,0.2200000062584877,-0.2884978870017644,0.007997675457876621,2.871999979019165,-0.38499999046325684,0.0,0.0,0.0,0.0,0.054999999701976776,2.897690265046075,0.3889721767437697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182918088500034,0.32033172352226913,0.0,0.0,0.1237441088802919,0.34571545201131015,0.7400837721162837,0.0,0.0,10500.0,0.0,1000.0,1000.0,0.0,0.0,10500.0,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,16,-4.5,0.6599999964237213,0.2200000062584877,-0.2884978870017644,0.007997675457876621,3.2820000648498535,-0.38499999046325684,0.0,0.0,0.0,0.0,0.0,3.3045044134228587,0.40681414837678354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182918088500034,0.2785343840965976,0.0,0.0,0.1237441088802919,0.3452250456822202,0.7579540441452277,0.0,0.0,10531.25,0.0,1000.0,1000.0,0.0,0.0,10531.25,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,17,-4.46875,0.7149999961256981,0.2200000062584877,-0.28050021371069905,0.007997675457876621,3.6510000228881836,-0.38499999046325684,0.054999999701976776,0.0,0.054999999701976776,0.054999999701976776,0.054999999701976776,3.671243135476895,0.36673872205403635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182918088500034,0.23898368450211954,0.0,0.0,0.1237441088802919,0.3452250456822202,0.7579540441452278,0.0,0.0,10562.5,0.0,1000.0,1000.0,0.0,0.0,10562.5,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,18,-4.4375,0.7149999961256981,0.2200000062584877,-0.28050021371069905,0.007997675457876621,4.0879998207092285,-0.38499999046325684,0.0,0.0,0.0,-0.054999999701976776,-0.10999999940395355,4.106089079254783,0.434845943777888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182918088500034,0.19570401616329716,0.0,0.0,0.1237441088802919,0.3452250456822202,0.7579540441452278,0.0,0.0,10593.75,0.0,1000.0,1000.0,0.0,0.0,10593.75,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,19,-4.40625,0.7149999961256981,0.2200000062584877,-0.28050021371069905,0.007997675457876621,4.533999919891357,-0.38499999046325684,0.0,0.0,0.0,0.0,0.054999999701976776,4.550316501764635,0.4442274225098517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182918088500034,0.1498005421810891,0.0,0.0,0.1237441088802919,0.3452250456822202,0.7579540441452278,0.0,0.0,10625.0,0.0,1000.0,1000.0,0.0,0.0,10625.0,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,20,-4.375,0.7149999961256981,0.2200000062584877,-0.28050021371069905,0.007997675457876621,4.988999843597412,-0.38499999046325684,0.0,0.0,0.0,0.0,0.0,5.003832974038174,0.453516472273539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9179954065219488,0.10301101108499851,0.0,0.0,0.1237441088802919,0.3446221930155823,0.776145238614846,0.0,0.0,10656.25,0.0,1000.0,1000.0,0.0,0.0,10656.25,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,21,-4.34375,0.7149999961256981,0.2200000062584877,-0.28050021371069905,0.007997675457876621,5.4019999504089355,-0.38499999046325684,0.0,0.0,0.0,0.0,0.0,5.415702028073078,0.4118690540349039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9926945048287595,0.06400165235418896,0.0,0.0,0.1237441088802919,0.3396483786277971,0.8501756149775761,0.0,0.0,10687.5,0.0,1000.0,1000.0,0.0,0.0,10687.5,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,22,-4.3125,0.7699999958276749,0.2200000062584877,-0.2725025404196337,0.007997675457876621,5.691999912261963,-0.38499999046325684,0.054999999701976776,0.0,0.054999999701976776,0.054999999701976776,0.054999999701976776,5.705005520930449,0.2893034928573712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03775407682087595,0.0,0.0,0.1237441088802919,0.22679028351929467,0.702357960246515,0.0,0.0,10718.75,0.0,1000.0,1000.0,0.0,0.0,10718.75,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,23,-4.28125,0.8799999952316284,0.2200000062584877,-0.256507193837503,0.007997675457876621,-0.03700000047683716,-0.38499999046325684,0.10999999940395355,0.0,0.10999999940395355,0.054999999701976776,0.0,0.3867738262757626,-5.318231694654687,5.318231694654687,1.0,1.0,31.25,1.0,31.25,0.0,0.0,1.0,0.8500307926372365,0.0,0.0,0.1237441088802919,0.07873122642969335,0.6703462859673117,0.0,0.0,10750.0,0.0,1000.0,1000.0,0.0,0.5850054832421024,10750.0,0.0,47.91199750641858,0
L06116_E02,L06116,6116,legit,test,2,24,-4.25,0.9349999949336052,0.2200000062584877,-0.2485095205464376,0.007997675457876621,0.02500000037252903,-0.38499999046325684,0.054999999701976776,0.0,0.054999999701976776,-0.054999999701976776,-0.10999999940395355,0.38581082498464747,-0.0009630012911151509,0.0009630012911151509,1.0,1.0,62.5,1.0,62.5,0.0,0.0,1.0,0.9179411907139403,0.0,0.0,-0.0,0.012186057540922519,0.6826923076923077,0.0,0.0,10781.25,0.0,1000.0,1000.0,0.0,5.296507072433655e-05,10781.25,0.0,0.017196451718573088,0
L06116_E02,L06116,6116,legit,test,2,25,-4.21875,0.9349999949336052,0.2200000062584877,-0.2485095205464376,0.007997675457876621,0.035999998450279236,-0.38499999046325684,0.0,0.0,0.0,-0.054999999701976776,0.0,0.3866794441719497,0.0008686191873022442,0.0,1.0,1.0,93.75,1.0,93.75,0.0,0.0,1.0,0.9241527180898478,0.0,0.0,-0.0,0.012186057540922519,0.6826923076923077,0.0,0.0,10812.5,0.0,1000.0,1000.0,0.0,0.0,10812.5,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,26,-4.1875,0.9349999949336052,0.2200000062584877,-0.2485095205464376,0.007997675457876621,1.6410000324249268,-0.38499999046325684,0.0,0.0,0.0,0.0,0.054999999701976776,1.6855580972115196,1.29887865303957,0.0,1.0,0.0,125.0,0.0,0.0,0.0,0.0,1.0,0.7103109775840222,0.0,0.0,-0.0,0.012186057540922519,0.6826923076923077,0.0,0.0,10843.75,0.0,1000.0,1000.0,0.0,0.0,10843.75,0.0,0.0,0
L06116_E02,L06116,6116,legit,test,2,27,-4.15625,0.9349999949336052,0.2200000062584877,-0.2485095205464376,0.007997675457876621,1.5789999961853027,-0.38499999046325684,0.0,0.0,0.0,0.0,0.0,1.6252587426652698,-0.060299354546249795,0.060299354546249795,1.0,0.0,156.25,0.0,0.0,0.0,0.0,1.0,0.7202384014410335,0.0,0.0,-0.0,0.012186057540922519,0.6826923076923077,0.0,0.0,10875.0,0.0,1000.0,1000.0,0.0,0.0,10875.0,0.0,60.299354546249795,0
L06116_E02,L06116,6116,legit,test,2,28,-4.125,0.9349999949336052,0.2200000062584877,-0.2485095205464376,0.007997675457876621,1.472000002861023,-0.38499999046325684,0.0,0.0,0.0,0.0,0.0,1.5215153634056935,-0.10374337925957633,0.10374337925957633,1.0,0.0,187.5,0.0,0.0,0.0,0.0,1.0,0.7381866045082202,0.0,0.0,-0.0,0.011022703782796635,0.7353393621658209,0.0,0.0,10906.25,0.0,1000.0,1000.0,0.0,0.0,10906.25,0.0,103.74337925957633,0
L06116_E02,L06116,6116,legit,test,2,29,-4.09375,2.5879999920725822,-0.16499998420476913,-0.008143084203086905,-0.04798603649617524,-0.2720000147819519,0.0,1.652999997138977,-0.38499999046325684,1.6972430536603076,1.6972430536603076,1.6972430536603076,0.2720000147819519,-1.2495153486237416,1.2495153486237416,1.0,1.0,218.75,0.0,0.0,0.2288302820407585,0.13482469794014396,0.9973485123979002,0.5931878487900871,0.0,0.0,0.1237441088802919,0.20996004879431246,0.4301202160741896,0.0,0.0,10937.5,0.0,1000.0,1000.0,0.0,2.120731245893583,10937.5,0.0,0.7357694447391374,0
