session_id,player_id,player_index,source_label,split,engagement_index,tick,t,view_yaw,view_pitch,replay_x,replay_y,crosshair_to_victim_yaw,crosshair_to_victim_pitch,yaw_delta,pitch_delta,angular_speed,angular_acceleration,angular_jerk,target_error,target_error_delta,target_error_improvement,on_target_soft,on_target_tight,on_target_dwell_ms,lock_indicator,lock_dwell_ms,heading_change,curvature,view_straightness,stability_score,yaw_reversal,pitch_reversal,direction_entropy_short,micro_correction_score,angular_speed_autocorr_short,fire_input,fire_on_target,time_since_fire_ms,fire_motion_coupling,last_fire_interval_ms,last_stabilization_to_fire_ms,flick_event,flick_magnitude,time_since_flick_ms,snap_indicator,aim_efficiency,label_cheat
C00798_E19,C00798,798,cheater,test,19,0,-5.0,-0.10999999940395355,0.0,0.04220779969930492,-0.006348358966741856,-69.52100372314453,-1.5440000295639038,-0.10999999940395355,0.0,0.10999999940395355,0.0,0.0,69.5381470472486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.08,0.5,0.0,0.0,10031.25,0.0,1000.0,1000.0,0.0,0.0,10031.25,0.0,0.0,1
C00798_E19,C00798,798,cheater,test,19,1,-4.96875,-0.10999999940395355,0.0,0.04220779969930492,-0.006348358966741856,-69.52100372314453,-1.5440000295639038,0.0,0.0,0.0,-0.10999999940395355,-0.10999999940395355,69.5381470472486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.141592653589793,31415.92653589793,0.5,0.0,0.0,0.0,1.0,0.08,0.5,0.0,0.0,10062.5,0.0,1000.0,1000.0,0.0,0.0,10062.5,0.0,0.0,1
C00798_E19,C00798,798,cheater,test,19,2,-4.9375,-0.10999999940395355,0.0,0.04220779969930492,-0.006348358966741856,-69.99299621582031,-1.5529999732971191,0.0,0.0,0.0,0.0,0.10999999940395355,70.01022302624737,0.47207597899877385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3060986113514965,1.497460979296715,0.5,0.0,0.0,10093.75,0.0,1000.0,1000.0,0.0,0.0,10093.75,0.0,0.0,1
C00798_E19,C00798,798,cheater,test,19,3,-4.90625,-0.10999999940395355,0.0,0.04220779969930492,-0.006348358966741856,-70.09100341796875,-1.5570000410079956,0.0,0.0,0.0,0.0,0.0,70.10829486776444,0.09807184151706849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.2704260414863776,1.3759058722774737,0.5,0.0,0.0,10125.0,0.0,1000.0,1000.0,0.0,0.0,10125.0,0.0,0.0,1
C00798_E19,C00798,798,cheater,test,19,4,-4.875,-0.10999999940395355,0.0,0.04220779969930492,-0.006348358966741856,-70.37699890136719,-1.569000005722046,0.0,0.0,0.0,0.0,0.0,70.39448654107078,0.2861916733063339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.24064269829578747,1.2709264805209315,0.5,0.0,0.0,10156.25,0.0,1000.0,1000.0,0.0,0.0,10156.25,0.0,0.0,1
C00798_E19,C00798,798,cheater,test,19,5,-4.84375,-0.10999999940395355,0.0,0.04220779969930492,-0.006348358966741856,-70.46800231933594,-1.5729999542236328,0.0,0.0,0.0,0.0,0.0,70.4855565327672,0.09106999169642904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.2166741405494514,1.1840024551019288,0.5,0.0,0.0,10187.5,0.0,1000.0,1000.0,0.0,0.0,10187.5,0.0,0.0,1
C00798_E19,C00798,798,cheater,test,19,6,-4.8125,-0.10999999940395355,0.0,0.04220779969930492,-0.006348358966741856,-70.73400115966797,-1.5820000171661377,0.0,0.0,0.0,0.0,0.0,70.7516900441977,0.26613351143049613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.19722425952744246,1.111626799662635,0.5,0.0,0.0,10218.75,0.0,1000.0,1000.0,0.0,0.0,10218.75,0.0,0.0,1
C00798_E19,C00798,798,cheater,test,19,7,-4.78125,-0.10999999940395355,0.0,0.04220779969930492,-0.006348358966741856,-70.94499969482422,-1.5870000123977661,0.0,0.0,0.0,0.0,0.0,70.96274762675104,0.2110575825533374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1811881477331988,1.0505317046973806,0.5,0.0,0.0,10250.0,0.0,1000.0,1000.0,0.0,0.0,10250.0,0.0,0.0,1
C00798_E19,C00798,798,cheater,test,19,8,-4.75,-0.10999999940395355,0.0,0.04220779969930492,-0.006348358966741856,-71.06700134277344,-1.590000033378601,0.0,0.0,0.0,0.0,0.0,71.08478585435779,0.12203822760675109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1677527782585486,0.9982210436897523,0.5,0.0,0.0,10281.25,0.0,1000.0,1000.0,0.0,0.0,10281.25,0.0,0.0,1
C00798_E19,C00798,798,cheater,test,19,9,-4.71875,-0.10999999940395355,0.0,0.04220779969930492,-0.006348358966741856,-71.18599700927734,-1.593000054359436,0.0,0.0,0.0,0.0,0.0,71.20381885389317,0.11903299953537783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.15633186452976042,0.9528486954781448,0.5,0.0,0.0,10312.5,0.0,1000.0,1000.0,0.0,0.0,10312.5,0.0,0.0,1
