scenario,assumed_prevalence,posterior_cheat_given_positive,posterior_legit_given_negative,posterior_cheat_given_negative
observed_test_prevalence,0.42857142857142855,0.9761904761904762,0.9821428571428571,0.017857142857142877
moderate_deployment_10pct,0.1,0.8586387434554971,0.9973136333109469,0.002686366689053059
rare_deployment_5pct,0.05,0.7420814479638004,0.9987257088244664,0.0012742911755336112
rare_deployment_1pct,0.01,0.3557483731019517,0.9997551869759471,0.0002448130240528799
very_rare_deployment_0.1pct,0.001,0.05188231572287237,0.9999757338979246,2.4266102075358407e-05
